103,Southport Airport,Portage-la-prairie,Canada,YPG,49.903099,-98.273817
105,Pickle Lake Airport,Pickle Lake,Canada,YPL,51.4464,-90.214203
106,Port Menier Airport,Port Menier,Canada,YPN,49.836399,-64.288597
107,Peterborough Airport,Peterborough,Canada,YPQ,44.23,-78.363297
108,Prince Rupert Airport,Prince Pupert,Canada,YPR,54.286098,-130.445007
109,Fort Chipewyan Airport,Fort Chipewyan,Canada,YPY,58.7672,-111.116997
110,Muskoka Airport,Muskoka,Canada,YQA,44.974701,-79.303299
111,Quebec Jean Lesage International Airport,Quebec,Canada,YQB,46.7911,-71.393303
112,Red Deer Regional Airport,Red Deer Industrial,Canada,YQF,52.182201,-113.893997
113,Windsor Airport,Windsor,Canada,YQG,42.2756,-82.955597
114,Watson Lake Airport,Watson Lake,Canada,YQH,60.116402,-128.822006
115,Kenora Airport,Kenora,Canada,YQK,49.7883,-94.363098
116,Lethbridge County Airport,Lethbridge,Canada,YQL,49.630299,-112.800003
117,Greater Moncton International Airport,Moncton,Canada,YQM,46.112202,-64.678596
119,Comox Airport,Comox,Canada,YQQ,49.7108,-124.887001
120,Regina International Airport,Regina,Canada,YQR,50.4319,-104.666
121,Thunder Bay Airport,Thunder Bay,Canada,YQT,48.371899,-89.323898
122,Grande Prairie Airport,Grande Prairie,Canada,YQU,55.179699,-118.885002
123,Yorkton Municipal Airport,Yorkton,Canada,YQV,51.264702,-102.461998
124,North Battleford Airport,North Battleford,Canada,YQW,52.769199,-108.244003
125,Gander International Airport,Gander,Canada,YQX,48.936901,-54.5681
126,Sydney / J.A. Douglas McCurdy Airport,Sydney,Canada,YQY,46.1614,-60.047798
127,Quesnel Airport,Quesnel,Canada,YQZ,53.0261,-122.510002
128,Resolute Bay Airport,Resolute,Canada,YRB,74.716904,-94.969398
129,Rivière-du-Loup Airport,Riviere Du Loup,Canada,YRI,47.7644,-69.584702
130,Roberval Airport,Roberval,Canada,YRJ,48.52,-72.265602
131,Rocky Mountain House Airport,Rocky Mountain House,Canada,YRM,52.429699,-114.903999
132,Rankin Inlet Airport,Rankin Inlet,Canada,YRT,62.811401,-92.115799
133,Sudbury Airport,Sudbury,Canada,YSB,46.625,-80.798897
134,Sherbrooke Airport,Sherbrooke,Canada,YSC,45.438599,-71.691399
135,Saint John Airport,St. John,Canada,YSJ,45.316101,-65.890297
136,Fort Smith Airport,Fort Smith,Canada,YSM,60.020302,-111.961998
137,Nanisivik Airport,Nanisivik,Canada,YSR,72.982201,-84.613602
138,Summerside Airport,Summerside,Canada,YSU,46.440601,-63.833599
139,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,Canada,YSY,71.993896,-125.242996
140,Cape Dorset Airport,Cape Dorset,Canada,YTE,64.230003,-76.526703
141,Thompson Airport,Thompson,Canada,YTH,55.801102,-97.864197
142,CFB Trenton,Trenton,Canada,YTR,44.1189,-77.528099
143,Timmins/Victor M. Power,Timmins,Canada,YTS,48.569698,-81.376701
144,Billy Bishop Toronto City Centre Airport,Toronto,Canada,YTZ,43.627499,-79.396202
145,Tuktoyaktuk Airport,Tuktoyaktuk,Canada,YUB,69.433296,-133.026001
146,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,YUL,45.4706,-73.740799
147,Repulse Bay Airport,Repulse Bay,Canada,YUT,66.5214,-86.224701
148,Hall Beach Airport,Hall Beach,Canada,YUX,68.7761,-81.2425
149,Rouyn Noranda Airport,Rouyn,Canada,YUY,48.2061,-78.835602
150,La Ronge Airport,La Ronge,Canada,YVC,55.151402,-105.262001
151,Vermilion Airport,Vermillion,Canada,YVG,53.355801,-110.823997
152,Qikiqtarjuaq Airport,Broughton Island,Canada,YVM,67.545799,-64.031403
153,Val-d'Or Airport,Val D'or,Canada,YVO,48.053299,-77.782799
154,Kuujjuaq Airport,Quujjuaq,Canada,YVP,58.0961,-68.426903
155,Norman Wells Airport,Norman Wells,Canada,YVQ,65.281601,-126.797997
156,Vancouver International Airport,Vancouver,Canada,YVR,49.193901,-123.183998
157,Buffalo Narrows Airport,Buffalo Narrows,Canada,YVT,55.8419,-108.417999
158,Wiarton Airport,Wiarton,Canada,YVV,44.7458,-81.107201
159,Petawawa Airport,Petawawa,Canada,YWA,45.952202,-77.319199
160,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,YWG,49.91,-97.239899
161,Wabush Airport,Wabush,Canada,YWK,52.921902,-66.864403
162,Williams Lake Airport,Williams Lake,Canada,YWL,52.183102,-122.054001
163,Wrigley Airport,Wrigley,Canada,YWY,63.2094,-123.436996
164,Cranbrook/Canadian Rockies International Airport,Cranbrook,Canada,YXC,49.610802,-115.781998
165,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Canada,YXD,53.572498,-113.521004
166,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,YXE,52.170799,-106.699997
167,Medicine Hat Airport,Medicine Hat,Canada,YXH,50.018902,-110.721001
168,Fort St John Airport,Fort Saint John,Canada,YXJ,56.238098,-120.739998
169,Sioux Lookout Airport,Sioux Lookout,Canada,YXL,50.113899,-91.905296
170,Pangnirtung Airport,Pangnirtung,Canada,YXP,66.144997,-65.7136
171,Earlton (Timiskaming Regional) Airport,Earlton,Canada,YXR,47.697401,-79.847345
172,Prince George Airport,Prince George,Canada,YXS,53.8894,-122.679001
173,Northwest Regional Airport Terrace-Kitimat,Terrace,Canada,YXT,54.468498,-128.576009
174,London Airport,London,Canada,YXU,43.035599,-81.1539
175,Abbotsford Airport,Abbotsford,Canada,YXX,49.025299,-122.361
176,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,YXY,60.709599,-135.067001
177,North Bay Jack Garland Airport,North Bay,Canada,YYB,46.363602,-79.422798
178,Calgary International Airport,Calgary,Canada,YYC,51.113899,-114.019997
179,Smithers Airport,Smithers,Canada,YYD,54.824699,-127.182999
180,Fort Nelson Airport,Fort Nelson,Canada,YYE,58.836399,-122.597
181,Penticton Airport,Penticton,Canada,YYF,49.4631,-119.601997
182,Charlottetown Airport,Charlottetown,Canada,YYG,46.290001,-63.121101
183,Taloyoak Airport,Spence Bay,Canada,YYH,69.5467,-93.576698
184,Victoria International Airport,Victoria,Canada,YYJ,48.6469,-123.426003
185,Lynn Lake Airport,Lynn Lake,Canada,YYL,56.863899,-101.075996
186,Swift Current Airport,Swift Current,Canada,YYN,50.291901,-107.691002
187,Churchill Airport,Churchill,Canada,YYQ,58.739201,-94.065002
188,Goose Bay Airport,Goose Bay,Canada,YYR,53.319199,-60.4258
189,St. John's International Airport,St. John's,Canada,YYT,47.618599,-52.7519
190,Kapuskasing Airport,Kapuskasing,Canada,YYU,49.413898,-82.467499
191,Armstrong Airport,Armstrong,Canada,YYW,50.290298,-88.909698
192,Mont Joli Airport,Mont Joli,Canada,YYY,48.608601,-68.208099
193,Lester B. Pearson International Airport,Toronto,Canada,YYZ,43.6772,-79.6306
194,Downsview Airport,Toronto,Canada,YZD,43.7425,-79.465599
195,Gore Bay Manitoulin Airport,Gore Bay,Canada,YZE,45.8853,-82.567802
196,Yellowknife Airport,Yellowknife,Canada,YZF,62.462799,-114.440002
197,Slave Lake Airport,Slave Lake,Canada,YZH,55.293098,-114.777
198,Sandspit Airport,Sandspit,Canada,YZP,53.254299,-131.813995
199,Chris Hadfield Airport,Sarnia,Canada,YZR,42.999401,-82.308899
200,Port Hardy Airport,Port Hardy,Canada,YZT,50.680599,-127.366997
201,Whitecourt Airport,Whitecourt,Canada,YZU,54.143902,-115.787003
202,Sept-Îles Airport,Sept-iles,Canada,YZV,50.223301,-66.265602
203,Teslin Airport,Teslin,Canada,YZW,60.172798,-132.742996
204,CFB Greenwood,Greenwood,Canada,YZX,44.984402,-64.916901
205,Faro Airport,Faro,Canada,ZFA,62.2075,-133.376007
206,Fort Mcpherson Airport,Fort Mcpherson,Canada,ZFM,67.407501,-134.860992
207,Blida Airport,Blida,Algeria,QLD,36.503601,2.81417
208,Bou Saada Airport,Bou Saada,Algeria,BUJ,35.3325,4.20639
209,Soummam Airport,Bejaja,Algeria,BJA,36.712002,5.06992
210,Houari Boumediene Airport,Algier,Algeria,ALG,36.691002,3.21541
211,Djanet Inedbirene Airport,Djanet,Algeria,DJG,24.292801,9.45244
214,Illizi Takhamalt Airport,Illizi,Algeria,VVZ,26.723499,8.62265
216,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,Algeria,TMR,22.811501,5.45108
217,Jijel Ferhat Abbas Airport,Jijel,Algeria,GJL,36.795101,5.87361
218,Mecheria Airport,Mecheria,Algeria,MZW,33.5359,-0.242353
220,Rabah Bitat Airport,Annaba,Algeria,AAE,36.822201,7.809174
221,Mohamed Boudiaf International Airport,Constantine,Algeria,CZL,36.276001,6.62039
