YHY,Hay River / Merlyn Carter Airport,Hay River;YZF,YEG,YSM;60.839699,-115.782997
YHZ,Halifax / Stanfield International Airport,Halifax;DCA,PHL,BOS,LHR,ORD,YDF,YFC,YOW,YQM,YQX,YQY,YSJ,YUL,YYG,YYR,YYT,YYZ,FRA,LGA,YYT,YYZ,LHR,YCL,YOW,YUL,YYT,FSP,MCO,BOS,EWR,ORD,DCA,PHL,CUN,LGA,MBJ,MCO,PUJ,YHM,YOW,YYC,YYT,YYZ;44.880798,-63.508598
YIO,Pond Inlet Airport,Pond Inlet;YCY,YGT,YCY;72.683296,-77.966698
YJT,Stephenville Airport,Stephenville;YDF;48.544201,-58.549999
YKA,Kamloops Airport,Kamloops;YVR,YXS,YVR,YYC,YYC;50.702202,-120.444
YKF,Waterloo Airport,Waterloo;ORD,ORD,YYC;43.4608,-80.378601
YKL,Schefferville Airport,Schefferville;YQB,YVP,YWK,YZV,YWK;54.805302,-66.805298
YLL,Lloydminster Airport,Lloydminster;YYC;53.3092,-110.072998
YLW,Kelowna International Airport,Kelowna;YVR,YXY,YXC,YXS,LAX,YVR,YYC,SEA,YQF,LAX,YEG,YVR,YYC,YYJ,YYZ;49.9561,-119.377998
YMM,Fort McMurray Airport,Fort Mcmurray;DEN,YEG,YVR,YYC,YYZ,YEG,YPY,YQF,DEN,YEG,YYC,YYZ;56.653301,-111.222
YMO,Moosonee Airport,Moosonee;YFA,YKQ,YTS;51.2911,-80.607803
YNA,Natashquan Airport,Natashquan;YZV,ZGS,YHR,YZV,ZGS,ZKG;50.189999,-61.7892
YOJ,High Level Airport,High Level;YEG,YOP;58.621399,-117.165001
YOW,Ottawa Macdonald-Cartier International Airport,Ottawa;YZF,YFB,YFB,CLT,PHL,BOS,DCA,FRA,IAD,LGA,LHR,ORD,YEG,YFC,YHZ,YQB,YQM,YUL,YVR,YWG,YXU,YYC,YYT,YYZ,DTW,YYZ,FRA,LHR,YFB,YHZ,YQM,YTZ,BOS,EWR,IAD,LGA,ORD,CLT,PHL,YEG,YHZ,YWG,YYC,YYT,YYZ;45.322498,-75.669197
YPL,Pickle Lake Airport,Pickle Lake;YQT;51.4464,-90.214203
YPN,Port Menier Airport,Port Menier;YGV,YZV;49.836399,-64.288597
YPR,Prince Rupert Airport,Prince Pupert;YVR,YVR;54.286098,-130.445007
YPY,Fort Chipewyan Airport,Fort Chipewyan;YMM,YSM;58.7672,-111.116997
YQB,Quebec Jean Lesage International Airport,Quebec;YKL,YUL,PHL,ORD,YGP,YOW,YUL,YYZ,YZV,YBC,YGR,YHU,YVB,YWK,YYY,YZV,YUL,YZV,YTZ,YBC,YZV,CDG,PUJ,YUL,EWR,ORD,PHL,YYZ;46.7911,-71.393303
YQF,Red Deer Regional Airport,Red Deer Industrial;YYC,YLW,YMM;52.182201,-113.893997
YQG,Windsor Airport,Windsor;YYZ,YTZ,YYC;42.2756,-82.955597
YQK,Kenora Airport,Kenora;YAG,YHD,YWG;49.7883,-94.363098
YQL,Lethbridge County Airport,Lethbridge;YYC;49.630299,-112.800003
YQM,Greater Moncton International Airport,Moncton;YHZ,YOW,YUL,YYZ,YOW,MCO,EWR,MCO,YHM,YYZ;46.112202,-64.678596
